track_id,track_name,artist_names,popularity,duration_ms,explicit,album,release_date,uri,genre
2QiqwOVUctPRVggO9G1Zs5,Wake Up,Rage Against The Machine,63,363853,False,Rage Against The Machine - XX (20th Anniversary Special Edition),1992,spotify:track:2QiqwOVUctPRVggO9G1Zs5,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
2Yi8ZEVOJavmqB25X9S39g,Wake Up,Lil Skies,44,174545,True,Wake Up,2023-08-04,spotify:track:2Yi8ZEVOJavmqB25X9S39g,melodic rap
1gGcKk7W1priUoTwotuoqT,Microphone Fiend,Rage Against The Machine,49,301533,False,Renegades,2000-12-05,spotify:track:1gGcKk7W1priUoTwotuoqT,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
1MQTmpYOZ6fcMQc56Hdo7T,Sleep Now In the Fire,Rage Against The Machine,67,205600,False,The Battle Of Los Angeles,1999-11-02,spotify:track:1MQTmpYOZ6fcMQc56Hdo7T,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
2c8sgbZoEanC3QyFNZxUcA,Flexicution,Logic,59,218946,True,Bobby Tarantino,2016-07-01,spotify:track:2c8sgbZoEanC3QyFNZxUcA,"conscious hip hop, hip hop, pop rap, rap"
74wpYGsVh2J13iAmmg1Uln,The Mantra (with Pharrell & Kendrick Lamar),"Mike WiLL Made-It, Pharrell Williams, Kendrick Lamar",46,247687,True,Creed II: The Album,2018-11-16,spotify:track:74wpYGsVh2J13iAmmg1Uln,"atl hip hop, rap, southern hip hop, trap"
74lnM5V6ecvoTPV0fvptx9,Nuketown (feat. Juice WRLD),"Ski Mask The Slump God, Juice WRLD",72,166400,True,STOKELEY,2018-11-30,spotify:track:74lnM5V6ecvoTPV0fvptx9,"hip hop, miami hip hop, pop rap, rap, trap, underground hip hop"
3sjtQ07ptlPzw2N4YmGW3S,Super,Cordae,61,177553,True,From a Birds Eye View,2022-01-14,spotify:track:3sjtQ07ptlPzw2N4YmGW3S,"hip hop, pop rap, rap, trap, underground hip hop"
1Pc3gTtQG4Cq1x81NcXtCN,My God Is The Sun,Queens of the Stone Age,0,235400,False,...Like Clockwork,2013-06-03,spotify:track:1Pc3gTtQG4Cq1x81NcXtCN,"alternative metal, alternative rock, grunge, modern rock, palm desert scene, rock, stoner metal, stoner rock"
0cbAF0iJ9bqLtpNuEzeTA4,Slouch,Dance Gavin Dance,0,190956,False,Artificial Selection,2018-06-08,spotify:track:0cbAF0iJ9bqLtpNuEzeTA4,"pixie, sacramento indie, screamo, swancore"
