track_id,track_name,artist_names,popularity,duration_ms,explicit,album,release_date,uri,genre
5fckoQosqCX9xJvHlwITY8,La chica banda,Café Tacvba,47,228693,False,Café Tacvba,1992-07-13,spotify:track:5fckoQosqCX9xJvHlwITY8,"latin alternative, latin pop, latin rock, mexican rock, rock en espanol"
5bBoE8OkM9jC97nyTLQsSx,Contacto,Compañia Ilimitada,7,249440,False,Contacto Edición Aniversario,2013-11-01,spotify:track:5bBoE8OkM9jC97nyTLQsSx,colombian rock
4Ofg5uuH7qqDIXpAJMpXZV,Rayando el Sol,Maná,76,250106,False,Falta Amor,1990-07-02,spotify:track:4Ofg5uuH7qqDIXpAJMpXZV,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
5F38bWepavLdPnAP0s22Xo,We Are Sudamerican Rockers,Los Prisioneros,39,215226,False,"Ni Por La Razón, Ni Por La Fuerza (Edición Especial)",1996-11-12,spotify:track:5F38bWepavLdPnAP0s22Xo,"chilean hardcore, chilean rock, latin rock, rock en espanol, ska chileno"
4bus2q9CQeh0c4qboNWJTz,Yo No Me Llamo Javier,Los Toreros Muertos,55,263506,False,30 Años de Éxitos,1986-01-30,spotify:track:4bus2q9CQeh0c4qboNWJTz,"latin alternative, latin rock, rock en espanol, spanish new wave"
6cVHu0HmKo4oEOSOqooTa3,La Negra Tomasa - Bilongo - Versión Tropical,Caifanes,66,472400,False,Caifanes,1988-05-15,spotify:track:6cVHu0HmKo4oEOSOqooTa3,"latin alternative, latin pop, latin rock, mexican rock, nu-cumbia, rock en espanol, rock urbano mexicano"
5fu5vl7owT5ny0ry2Bema2,Si No Fuera Por... - Remasterizado 2007,Soda Stereo,54,207640,False,Nada Personal (Remastered),1985-10-09,spotify:track:5fu5vl7owT5ny0ry2Bema2,"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol, ska argentino"
4VikOud5ZmdmHH6h7uQeDB,Nos Siguen Pegando Abajo,Charly García,66,206720,False,Clics Modernos,1983-11-05,spotify:track:4VikOud5ZmdmHH6h7uQeDB,"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol"
2PmoxtFwmuP8hnLCaV9wFW,Con Suavidad,Los Prisioneros,50,304666,False,Corazones,1990-09-08,spotify:track:2PmoxtFwmuP8hnLCaV9wFW,"chilean hardcore, chilean rock, latin rock, rock en espanol, ska chileno"
11AnIo9kTnjhtD06y5Zd5O,Amores Lejanos,Los Enanitos Verdes,62,295013,False,Amores Lejanos,2002-01-01,spotify:track:11AnIo9kTnjhtD06y5Zd5O,"argentine rock, latin alternative, latin pop, latin rock, mexican pop, rock en espanol, ska argentino"
1wGNjZQoO4Ac5zotF3aZTb,Bailando Solo,Los Bunkers,71,267826,False,La Velocidad de la Luz,2013,spotify:track:1wGNjZQoO4Ac5zotF3aZTb,"chilean rock, concepcion indie, latin alternative, latin rock, rock en espanol"
62FQCSvSUSG3m9uajVkvWe,Lamento Boliviano,Los Enanitos Verdes,57,223146,False,Coleccion Aniversario,1999-01-01,spotify:track:62FQCSvSUSG3m9uajVkvWe,"argentine rock, latin alternative, latin pop, latin rock, mexican pop, rock en espanol, ska argentino"
1l0mEM93oZMERzBmOCuiHe,Obsesión,Miguel Mateos,64,245360,False,Lo Esencial,2005-04-12,spotify:track:1l0mEM93oZMERzBmOCuiHe,"latin alternative, latin arena pop, latin pop, latin rock, rock en espanol"
6W1BLmVBxkqZwFQcORQLnv,Tren Al Sur,Los Prisioneros,70,336933,False,Corazones,1990-09-08,spotify:track:6W1BLmVBxkqZwFQcORQLnv,"chilean hardcore, chilean rock, latin rock, rock en espanol, ska chileno"
2ExpCKBxiHbgzepERl1t4D,Cuando Pase el Temblor,Soda Stereo,52,228853,False,Originales - 20 Exitos,1983,spotify:track:2ExpCKBxiHbgzepERl1t4D,"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol, ska argentino"
0cslUTJ5eB4hUNs0fKyh59,Nada Personal,Soda Stereo,45,292200,False,Originales - 20 Exitos,1983,spotify:track:0cslUTJ5eB4hUNs0fKyh59,"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol, ska argentino"
5wCUdBsdubZ3ZFoJoRsMrY,Persiana Americana - Remasterizado 2007,Soda Stereo,62,292266,False,Me Verás Volver (Hits & Más),2007-06-28,spotify:track:5wCUdBsdubZ3ZFoJoRsMrY,"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol, ska argentino"
7kdpwk3Y1LbE592bwtpgwj,Camila,Fobia,42,231080,False,Mundo Feliz,1991,spotify:track:7kdpwk3Y1LbE592bwtpgwj,"latin alternative, latin rock, mexican rock, rock en espanol"
2WD9ggmpZE7Wodh3qVVCgg,De Música Ligera,Soda Stereo,57,212893,False,Originales - 20 Exitos,1983,spotify:track:2WD9ggmpZE7Wodh3qVVCgg,"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol, ska argentino"
1qvY1z3Wm3sAYeHfPTnrbI,La Muralla Verde,Los Enanitos Verdes,67,161800,False,Originales - 20 Exitos,1986,spotify:track:1qvY1z3Wm3sAYeHfPTnrbI,"argentine rock, latin alternative, latin pop, latin rock, mexican pop, rock en espanol, ska argentino"
25ayfrtkcSJfE93B8mnhRT,Todo Cuenta,DLD,65,232120,False,Primario,2012-09-18,spotify:track:25ayfrtkcSJfE93B8mnhRT,"latin alternative, latin arena pop, latin rock, mexican rock, rock en espanol"
0wTrY23ot5A0aog0JNzXLS,El Microbito,Fobia,26,156946,False,Rock Latino,2012-06-26,spotify:track:0wTrY23ot5A0aog0JNzXLS,"latin alternative, latin rock, mexican rock, rock en espanol"
7lBKa0oQnv6w2AgFiBqRW2,Veneno Vil,Fobia,57,297533,False,Amor Chiquito,1996,spotify:track:7lBKa0oQnv6w2AgFiBqRW2,"latin alternative, latin rock, mexican rock, rock en espanol"
51PKgx0ep9pIKJxJvTBnqx,El Diablo,Fobia,57,215413,False,Mundo Feliz,1991,spotify:track:51PKgx0ep9pIKJxJvTBnqx,"latin alternative, latin rock, mexican rock, rock en espanol"
4SYZWSpSmfb2fzrhvV5hTT,La Iguana,Fobia,10,260493,False,Rock Latino,2012-06-26,spotify:track:4SYZWSpSmfb2fzrhvV5hTT,"latin alternative, latin rock, mexican rock, rock en espanol"
3EsjrObXPhXA79Cr4QixY8,El Matador,Los Fabulosos Cadillacs,56,274093,False,20 Grandes Exitos,1998-06-05,spotify:track:3EsjrObXPhXA79Cr4QixY8,"argentine rock, latin alternative, latin pop, latin rock, rock en espanol, ska, ska argentino"
7kfWrSl900stiInsQVlHwb,Siguiendo La Luna,Los Fabulosos Cadillacs,52,294240,False,Originales - 20 Exitos,2005-07-19,spotify:track:7kfWrSl900stiInsQVlHwb,"argentine rock, latin alternative, latin pop, latin rock, rock en espanol, ska, ska argentino"
