track_id,track_name,artist_names,popularity,duration_ms,explicit,album,release_date,uri,genre
2QiqwOVUctPRVggO9G1Zs5,Wake Up,Rage Against The Machine,63,363853,False,Rage Against The Machine - XX (20th Anniversary Special Edition),1992,spotify:track:2QiqwOVUctPRVggO9G1Zs5,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
2Yi8ZEVOJavmqB25X9S39g,Wake Up,Lil Skies,44,174545,True,Wake Up,2023-08-04,spotify:track:2Yi8ZEVOJavmqB25X9S39g,melodic rap
1MQTmpYOZ6fcMQc56Hdo7T,Sleep Now In the Fire,Rage Against The Machine,67,205600,False,The Battle Of Los Angeles,1999-11-02,spotify:track:1MQTmpYOZ6fcMQc56Hdo7T,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
20I8RduZC2PWMWTDCZuuAN,Take Me Out,Franz Ferdinand,81,237026,False,Franz Ferdinand,2004-02-16,spotify:track:20I8RduZC2PWMWTDCZuuAN,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock"
74wpYGsVh2J13iAmmg1Uln,The Mantra (with Pharrell & Kendrick Lamar),"Mike WiLL Made-It, Pharrell Williams, Kendrick Lamar",46,247687,True,Creed II: The Album,2018-11-16,spotify:track:74wpYGsVh2J13iAmmg1Uln,"atl hip hop, rap, southern hip hop, trap"
3sjtQ07ptlPzw2N4YmGW3S,Super,Cordae,61,177553,True,From a Birds Eye View,2022-01-14,spotify:track:3sjtQ07ptlPzw2N4YmGW3S,"hip hop, pop rap, rap, trap, underground hip hop"
1Pc3gTtQG4Cq1x81NcXtCN,My God Is The Sun,Queens of the Stone Age,0,235400,False,...Like Clockwork,2013-06-03,spotify:track:1Pc3gTtQG4Cq1x81NcXtCN,"alternative metal, alternative rock, grunge, modern rock, palm desert scene, rock, stoner metal, stoner rock"
2oSPru8bef0EMhF9tvMSLn,Down With the King (feat. Pete Rock & C.L. Smooth),"Run–D.M.C., Pete Rock, C.L. Smooth",47,302626,False,Down With The King,1993-05-04,spotify:track:2oSPru8bef0EMhF9tvMSLn,"east coast hip hop, golden age hip hop, hip hop, old school hip hop, queens hip hop, rap"
0cbAF0iJ9bqLtpNuEzeTA4,Slouch,Dance Gavin Dance,0,190956,False,Artificial Selection,2018-06-08,spotify:track:0cbAF0iJ9bqLtpNuEzeTA4,"pixie, sacramento indie, screamo, swancore"
2hjQWuAy9fsSykGerWU8Wi,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,47,230413,False,The Essential Survivor,2014-10-24,spotify:track:2hjQWuAy9fsSykGerWU8Wi,"album rock, glam metal, hard rock, soft rock"
