track_id,track_name,artist_names,popularity,duration_ms,explicit,album,release_date,uri,genre
2Yi8ZEVOJavmqB25X9S39g,Wake Up,Lil Skies,44,174545,True,Wake Up,2023-08-04,spotify:track:2Yi8ZEVOJavmqB25X9S39g,melodic rap
6C2PfemHQul77DVpnvuAIs,Gonna Fly Now,Bill Conti,54,170240,False,Rocky III: Music From The Motion Picture,1982-01-01,spotify:track:6C2PfemHQul77DVpnvuAIs,theme
1gGcKk7W1priUoTwotuoqT,Microphone Fiend,Rage Against The Machine,49,301533,False,Renegades,2000-12-05,spotify:track:1gGcKk7W1priUoTwotuoqT,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
52qhXwLTCCCkwUTlQYxNRR,Dragon,King Gizzard & The Lizard Wizard,29,584699,False,Dragon,2023-06-06,spotify:track:52qhXwLTCCCkwUTlQYxNRR,"australian psych, double drumming, microtonal, neo-psychedelic"
2R711v6UpsgYvDuzCJ1iSl,fafo,Zack Fox,0,159451,True,fafo,2021-10-01,spotify:track:2R711v6UpsgYvDuzCJ1iSl,"chill abstract hip hop, indie hip hop, meme rap, social media pop"
2QiqwOVUctPRVggO9G1Zs5,Wake Up,Rage Against The Machine,63,363853,False,Rage Against The Machine - XX (20th Anniversary Special Edition),1992,spotify:track:2QiqwOVUctPRVggO9G1Zs5,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
7cShikd4rLNwAlHrHo0AFt,Seer,Witch,0,477920,False,Witch,2006-03-07,spotify:track:7cShikd4rLNwAlHrHo0AFt,"psychedelic doom, stoner metal, stoner rock"
1MQTmpYOZ6fcMQc56Hdo7T,Sleep Now In the Fire,Rage Against The Machine,67,205600,False,The Battle Of Los Angeles,1999-11-02,spotify:track:1MQTmpYOZ6fcMQc56Hdo7T,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
2c8sgbZoEanC3QyFNZxUcA,Flexicution,Logic,59,218946,True,Bobby Tarantino,2016-07-01,spotify:track:2c8sgbZoEanC3QyFNZxUcA,"conscious hip hop, hip hop, pop rap, rap"
3S68RFe1lsdCdTMPIMJM3X,Cash In Cash Out,"Pharrell Williams, 21 Savage, Tyler, The Creator",69,216135,True,Cash In Cash Out,2022-06-10,spotify:track:3S68RFe1lsdCdTMPIMJM3X,"dance pop, pop"
