track_id,track_name,artist_names,album_name,duration_ms,popularity,explicit
2Yi8ZEVOJavmqB25X9S39g,Wake Up,Lil Skies,Wake Up,174545,44,True
2acCrpnHeM7XlylIU0Xczd,Intergalactic Icons,"Logic, Conway the Machine, Riff Raff",Intergalactic Icons,212062,48,True
0PqtNNc7QhuKJ9eOgFWLj6,Alguno De Estos Días,Aleks Syntek,Mundo Lite,254040,17,False
2QiqwOVUctPRVggO9G1Zs5,Wake Up,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),363853,63,False
4WMlnX8iQpzksHfUGYe4Rw,No Olvidamos,Molotov,Sólo D’Lira,274991,40,True
0qiYnY0y5P9gqq6THGzhaI,Another Dimension,Pop Money,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),179333,60,False
7uVNNZdotwXeSfQZ8bV7If,Ya No Estoy,Los Mesoneros,Indeleble,223813,33,False
20I8RduZC2PWMWTDCZuuAN,Take Me Out,Franz Ferdinand,Franz Ferdinand,237026,81,False
1MQTmpYOZ6fcMQc56Hdo7T,Sleep Now In the Fire,Rage Against The Machine,The Battle Of Los Angeles,205600,67,False
2hjQWuAy9fsSykGerWU8Wi,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,The Essential Survivor,230413,47,False
4EjbAh7YHU3VARkfkamZ8R,The Pale Moonlight,Kid Cudi,Man On The Moon III: The Chosen,176293,49,True
3sjtQ07ptlPzw2N4YmGW3S,Super,Cordae,From a Birds Eye View,177553,61,True
74lnM5V6ecvoTPV0fvptx9,Nuketown (feat. Juice WRLD),"Ski Mask The Slump God, Juice WRLD",STOKELEY,166400,73,True
2gDJhVspNZPpCEyzR9zOY0,The Numbers,Rise Against,Nowhere Generation,299946,44,True
74wpYGsVh2J13iAmmg1Uln,The Mantra (with Pharrell & Kendrick Lamar),"Mike WiLL Made-It, Pharrell Williams, Kendrick Lamar",Creed II: The Album,247687,47,True
5XeSAezNDk9tuw3viiCbZ3,Get Up Offa That Thing,James Brown,The 50th Anniversary Collection,239733,62,False
1gGcKk7W1priUoTwotuoqT,Microphone Fiend,Rage Against The Machine,Renegades,301533,49,False
0fJvhWbJ4xac8CApZYwz29,El Abrazo,Juanes,Vida Cotidiana (Deluxe Version),186293,28,False
4s6vwFgPdCtidpEw8KuQT6,REPEAT IT (with Gunna),"Lil Tecca, Gunna",We Love You Tecca 2,190344,59,True
2p9sprAX27D6U5cuSE9NsM,When I B On Tha Mic,Rakim,The Master,222933,62,True
719muV16yNGh6AxmCeMby1,Rock Bottom - 2007 Remaster,UFO,Phenomenon (2007 Remaster),389333,53,False
5BAwVGuohBVscZWyoLCkkG,Travellin' Man (Remastered),"dj honda, Mos Def",Travellin' Man (Remastered),318573,52,False
6C2PfemHQul77DVpnvuAIs,Gonna Fly Now,Bill Conti,Rocky III: Music From The Motion Picture,170240,54,False
5OWF7n0zX8kyTJvv1jTvZX,Puto,Molotov,Donde Jugaran Las Niñas,127373,49,True
2oSPru8bef0EMhF9tvMSLn,Down With the King (feat. Pete Rock & C.L. Smooth),"Run–D.M.C., Pete Rock, C.L. Smooth",Down With The King,302626,48,False
1lATXTBJDHwawvT1UfxWu3,The Pot,TOOL,"10,000 Days",381946,70,True
52qhXwLTCCCkwUTlQYxNRR,Dragon,King Gizzard & The Lizard Wizard,Dragon,584699,30,False
0Hc5hvE10GhQnJxQQLaXPk,Slouch,Dance Gavin Dance,Artificial Selection,190956,36,False
3S68RFe1lsdCdTMPIMJM3X,Cash In Cash Out,"Pharrell Williams, 21 Savage, Tyler, The Creator",Cash In Cash Out,216135,69,True
2Ee9amLUslOwgoJWZEpSSD,Mystery Lady (feat. Don Toliver),"Masego, Don Toliver",Mystery Lady (feat. Don Toliver),228453,59,False
1WIZiOuNO3woKfdlSK2gNn,Transportin',Kodak Black,Project Baby 2: All Grown Up,169344,74,True
2R711v6UpsgYvDuzCJ1iSl,fafo,Zack Fox,fafo,159451,0,True
4pL01X6Og8L9kJRTB65Hsz,Sos Todo Lo Que Está Bien,Silvestre y La Naranja,ANIM4LES,115568,65,False
0MHHAIjPAd3OSfBS3H0fPg,My God Is the Sun,Queens of the Stone Age,...Like Clockwork,235400,56,False
0QXB4jXrS4We0xJwuQ5u91,Snake,Freddie Dredd,Dredd,73901,51,True
32BEasyNQgqXQJKoVa0fUw,Black Smoke Rising,Greta Van Fleet,From The Fires,259893,66,False
